Tanggal,"Temperatur Minimum	 (°C)",Temperatur Maksimum (°C),Temperatur Rata-rata (°C),Kelembapan Rata-rata (%),Curah Hujan (mm),Lamanya Penyinaran Matahari (jam),Kecepatan Angin Maksimum (m/s),Arah Angin Saat Kecepatan Maksimum (°),Kecepatan Angin Rata-rata (m/s),Arah Angin Terbanyak (°)
23-02-2010,21,30.6,24.9,76,0,5.4,3,270,2,W 
24-02-2010,19,29.2,23.6,87,0.6,3,1,270,0,W 
25-02-2010,19,27.2,21.6,93,29.4,3.1,3,270,2,W 
26-02-2010,19,28.6,23.3,84,12.2,4,3,270,2,W 
27-02-2010,20,30.3,24.5,82,0,4.7,3,270,2,W 
28-02-2010,21,30.2,24.2,83,1,4.8,4,270,2,W 
01-03-2010,21,28.4,23.2,86,8888,3.5,3,45,2,NE
02-03-2010,19,30.4,23.9,78,47.5,7.4,3,270,2,W 
03-03-2010,19,29.8,24,82,3.5,5,3,270,2,NE
04-03-2010,22,29,24.6,79,8888,3.4,4,315,2,W 
05-03-2010,22,26.6,23.3,88,1,1.8,2,90,2,W 
06-03-2010,20,28.7,23.3,82,2.4,4.9,4,360,2,W 
07-03-2010,20,30.6,23.9,83,10.5,6.3,3,270,2,NE
08-03-2010,21,29,23.8,84,4.2,2.4,3,90,2,W 
09-03-2010,21,27,22.5,94,33,2.2,3,270,2,W 
10-03-2010,20,26.6,23.2,88,32,0.4,2,45,2,W 
11-03-2010,20,27.4,22.8,88,6.7,2.7,2,45,1,W 
12-03-2010,20,27,22.6,88,44.5,1.9,3,225,2,N 
13-03-2010,19,28,22.3,87,8.5,4.5,2,45,2,NW
14-03-2010,20,28,22.9,87,0.3,2.3,3,270,1,S 
15-03-2010,19,27.7,22.7,86,10,3,2,90,2,W 
16-03-2010,19,26.4,21.8,88,5,3.6,4,360,2,W 
17-03-2010,20,27.9,22.6,88,0.3,2.8,5,90,3,NW
18-03-2010,20,27.9,22.7,88,47.7,4,2,90,1,W 
19-03-2010,20,28.6,23.4,85,6.6,4.9,3,180,2,W 
20-03-2010,20,29,23,88,94,4.8,3,90,2,NE
21-03-2010,19,27.6,22.7,89,21.1,2,3,45,1,N 
22-03-2010,20,30.4,23.7,84,18,6,3,270,2,W 
23-03-2010,20,28.8,23.5,86,3.5,5,3,270,2,SW
24-03-2010,20,31,24.6,83,20,7.5,3,90,2,E 
25-03-2010,20,30.4,24.6,81,2,6.9,4,270,2,W 
26-03-2010,20,28,23.3,86,8888,2,2,270,2,SW
27-03-2010,20,30.2,23.3,80,0.4,6.1,4,315,2,W 
28-03-2010,20,27.8,22.7,88,26.2,1,3,315,2,W 
29-03-2010,20,29.4,22.9,84,9.5,4.8,2,315,1,SW
30-03-2010,20,25,21.8,91,62.5,,2,270,2,W 
31-03-2010,19,28.4,22.9,88,10.1,1.4,2,45,2,W 
01-04-2010,20,30.4,24.3,83,2,1.2,3,270,2,W 
02-04-2010,21,29.3,24.1,79,0,3.3,3,225,2,W 
03-04-2010,21,29.2,24.3,79,1.5,1.2,2,225,1,S 
04-04-2010,21,30.7,24.4,78,8888,8,4,270,2,W 
05-04-2010,20,29.2,23,85,20,4.1,2,225,2,W 
06-04-2010,19,30.4,24.1,82,27,8,3,270,2,W 
07-04-2010,19,30,24.1,83,2,5.4,3,270,2,W 
08-04-2010,22,30.4,24.6,83,1.3,5.9,3,270,2,W 
09-04-2010,20,30.2,24.4,79,3,7.7,3,270,2,W 
10-04-2010,20,29.2,24.8,70,0,3.8,4,270,2,SW
11-04-2010,22,30.2,24,81,0,4.6,3,270,2,W 
12-04-2010,18,30.8,23.6,74,21,7.8,4,270,2,W 
13-04-2010,19,30.6,26,75,0,7.9,3,270,2,W 
14-04-2010,21,30.2,24.6,77,0,6,5,270,3,W 
15-04-2010,20,30.5,25,80,6.2,6.3,3,270,2,W 
16-04-2010,21,27.6,24.4,82,3.5,2.2,2,270,2,NW
17-04-2010,21,29.8,24.5,79,0.5,5,4,270,2,W 
18-04-2010,21,29,24.1,77,0,6.3,3,270,2,W 
19-04-2010,21,29.6,24.4,75,0,8,4,270,2,W 
20-04-2010,20,30.9,24.6,75,0,8,4,270,2,W 
21-04-2010,20,31.3,25.7,72,0,8,3,315,2,W 
22-04-2010,21,31.2,25.9,76,8888,8,4,270,2,W 
23-04-2010,23,29,25.2,77,0,4.2,3,270,2,W 
24-04-2010,22,31.4,25.3,78,0,6,6,270,2,W 
25-04-2010,21,31.8,25.2,71,0.8,6.3,2,90,1,SE
26-04-2010,20,32,25.9,72,0,6.7,3,270,2,W 
27-04-2010,22,30,24.8,79,0.5,5,3,270,2,W 
28-04-2010,23,28.6,24.7,78,0,4.8,4,270,2,E 
29-04-2010,21,30.8,24.8,78,1.6,6.7,4,180,2,W 
30-04-2010,20,31.2,24.5,80,2.1,6.4,3,225,2,E 
01-05-2010,20,31.6,25.4,78,3,5.6,4,135,3,N 
02-05-2010,22,29.8,24.7,81,0,4.6,3,45,2,W 
03-05-2010,21,30,24.5,79,0,3.8,3,270,1,W 
04-05-2010,21,29,24.4,81,3.7,3.6,3,45,3,W 
05-05-2010,21,29.7,23.6,86,0,2.5,3,45,1,NW
06-05-2010,20,29.4,24.2,78,3.4,4.3,2,90,2,N 
07-05-2010,20,30,24,81,0,5.9,3,270,2,W 
08-05-2010,21,28,23.2,88,18,1.6,4,360,2,N 
09-05-2010,20,29.7,24,80,15.5,6.8,4,270,2,W 
10-05-2010,20,29.6,24.3,83,8888,1.7,1,90,0,NW
11-05-2010,21,29,24.1,91,11.7,5.2,3,270,2,N 
12-05-2010,21,29.2,24.8,88,8888,5.5,3,270,2,NW
13-05-2010,21,28.4,23.3,90,3.5,2.8,2,90,1,N 
14-05-2010,21,28.3,23.1,91,92,2.4,3,270,2,W 
15-05-2010,20,30.4,23.8,90,40.9,6.6,5,270,2,NW
16-05-2010,20,27.7,22.5,94,4.5,0.6,2,270,2,N 
17-05-2010,21,28.8,24.2,88,18,4.3,3,270,3,NW
18-05-2010,22,30,25.4,79,0,7.7,3,270,2,NW
19-05-2010,22,30.3,25,79,0,5.5,4,270,2,N 
20-05-2010,21,29,23.8,76,6.1,4,4,45,2,NW
21-05-2010,19,31,23.8,80,50.3,7.6,3,270,2,W 
22-05-2010,18,30.1,23.2,83,1.5,5.7,3,180,2,N 
23-05-2010,21,31,24.2,88,34.5,3.7,4,315,2,NW
24-05-2010,22,30.8,25,83,2.5,6.3,3,90,2,W 
25-05-2010,20,30,24.3,80,0,6.9,2,270,2,W 
26-05-2010,20,30,24.9,82,0.2,6.3,3,135,2,N 
27-05-2010,20,29.8,24.2,80,0,2.4,3,90,2,NW
28-05-2010,21,29.2,24.1,81,5,5.6,2,90,2,W 
29-05-2010,21,28.2,23.6,84,0,2.7,3,270,2,W 
30-05-2010,20,29.2,23,84,0,4.1,2,270,2,N 
31-05-2010,20,31,24.7,81,30.7,6.9,2,135,1,N 
01-06-2010,20,29.6,24.8,83,0,5.9,3,270,1,W 
02-06-2010,20,31,24.9,77,1,6.9,3,90,2,W 
03-06-2010,21,31.7,24.7,81,0,6.5,3,90,2,S 
04-06-2010,21,30,24.3,81,1,6.8,3,270,2,W 
05-06-2010,20,28,24.1,89,1.5,3.1,2,45,1,W 
06-06-2010,20,27,22.6,88,3,1.7,3,270,2,W 
07-06-2010,19,28.2,22.8,90,14.6,2.1,3,270,2,W 
08-06-2010,21,27.1,22.4,91,0,1.9,3,270,2,W 
09-06-2010,19,28,22.7,82,27.4,1.3,2,90,1,W 
10-06-2010,19,28.6,23.8,83,0,4.5,3,225,1,S 
11-06-2010,21,29,23.4,85,1,4.1,3,225,2,W 
12-06-2010,20,26.2,22.6,88,22.5,0.3,2,315,0,W 
13-06-2010,18,29.8,22,80,6,6.3,3,270,2,W 
14-06-2010,18,27.2,23.3,85,2,1.3,2,360,1,W 
15-06-2010,20,27,22.1,90,0,3.5,2,360,1,W 
16-06-2010,20,24.2,21.6,92,24,,2,270,2,NW
17-06-2010,20,26.2,22.8,85,1.4,0.2,3,90,2,W 
18-06-2010,21,29.6,23.2,85,8888,6.2,5,90,3,W 
19-06-2010,20,28,23.4,84,14.6,5.7,4,45,2,W 
20-06-2010,20,29,23.8,80,0,7.6,4,360,2,W 
21-06-2010,20,29.6,24.6,82,0,7.9,3,270,2,W 
22-06-2010,20,30,23.6,73,0,7.7,4,90,2,W 
23-06-2010,19,29,23.2,77,0,5.1,4,90,2,W 
24-06-2010,19,28.2,24,78,0,4,5,90,2,W 
25-06-2010,21,26.8,23.4,86,8888,2.7,2,270,2,SW
26-06-2010,20,27.3,22.9,86,3,3.4,2,135,2,W 
27-06-2010,19,29.2,23.4,80,8888,5.3,3,45,2,W 
28-06-2010,20,26.9,22.3,87,0,2.7,2,135,2,E 
29-06-2010,16,26.2,21.7,94,0,2.1,3,270,2,W 
30-06-2010,19,28,23.1,91,8.9,4.6,2,180,1,E 
01-07-2010,18,28.4,22.7,90,61,3.5,3,315,2,NW
02-07-2010,19,27,22.1,93,1,2.8,3,45,1,SW
03-07-2010,19,26.6,22.2,89,1.6,0.8,3,270,2,W 
04-07-2010,18,28,22.5,88,3.6,4.9,3,270,2,W 
05-07-2010,19,29,23.3,88,4.2,2.9,2,270,1,N 
06-07-2010,20,29.6,23.5,89,2.3,6,4,270,2,NE
07-07-2010,21,28.4,24.2,84,0,3.6,3,90,2,S 
08-07-2010,21,27,22,93,9,3.6,3,270,2,S 
09-07-2010,19,28.3,22.4,90,29.5,4,2,45,1,NE
10-07-2010,19,27.5,22,90,1.5,3.9,2,360,1,N 
11-07-2010,19,28.5,23.1,82,8888,5.1,4,45,2,NE
12-07-2010,20,28.4,23.2,85,0,5,2,45,2,NE
13-07-2010,20,27.6,23.4,86,0,1.5,3,90,2,N 
14-07-2010,20,27.2,22.6,90,10.5,4.9,4,270,2,W 
15-07-2010,18,27.8,22.2,90,5,4.7,2,90,1,E 
16-07-2010,18,26.5,22,87,0,,2,360,1,W 
17-07-2010,19,27.4,22.8,86,0,0.7,2,90,2,E 
18-07-2010,20,26.8,22.7,92,2,2.1,3,270,2,E 
19-07-2010,20,27,22.2,94,46.6,2.9,2,270,2,W 
20-07-2010,19,28,23.1,90,22,2.1,2,270,2,W 
21-07-2010,19,29.2,24.3,80,8888,7,4,270,2,W 
22-07-2010,19,29.6,23.2,72,0,7.1,2,45,2,E 
23-07-2010,19,28,22.6,75,0,4.9,3,90,2,E 
24-07-2010,18,29,22.7,73,0,7.7,3,90,2,E 
25-07-2010,18,28,23.4,74,0,3.6,3,90,2,E 
26-07-2010,20,28.7,24.4,78,8888,6.3,3,90,2,E 
27-07-2010,21,25.8,21.5,91,0.2,0.4,2,90,1,E 
28-07-2010,20,27.1,22.8,88,17.8,3.9,3,270,2,W 
29-07-2010,20,27,23.5,85,3,3.5,4,45,2,NE
30-07-2010,20,29.6,23.5,80,0,5.9,3,90,2,E 
31-07-2010,20,29.5,24.1,79,0,5.2,3,45,2,E 
01-08-2010,19,28.6,24.2,76,0,6,3,180,2,S 
02-08-2010,19,29.2,23.3,78,0,6.1,3,45,2,W 
03-08-2010,19,29,22.5,80,0,4.3,3,360,1,N 
04-08-2010,19,27.8,22.9,82,5.2,2.7,3,90,2,N 
05-08-2010,19,29.2,23.1,86,4.2,4.3,4,270,2,W 
06-08-2010,20,28.2,22.3,82,22,5.9,3,90,2,SE
07-08-2010,20,28.6,22.7,80,0.8,6.1,4,270,2,W 
08-08-2010,19,27.8,22.8,80,8888,4.2,1,360,0,NW
09-08-2010,19,29.7,23.4,78,8888,6,4,270,2,W 
10-08-2010,19,27.2,22.6,84,10.5,3.2,3,45,2,N 
11-08-2010,21,28,23.3,84,0.3,3.7,2,360,2,N 
12-08-2010,20,28.5,23.9,84,1.2,6.1,2,45,2,W 
13-08-2010,20,28.3,23.6,80,0.5,4.7,3,45,2,S 
14-08-2010,21,30.4,24.8,77,0,7,4,90,2,SW
15-08-2010,21,27.4,23.3,84,0,1.6,3,315,2,NW
16-08-2010,22,26.4,22.8,86,3,0.3,2,270,1,W 
17-08-2010,21,26.8,23.3,88,2.5,2.8,3,270,2,W 
18-08-2010,19,27.4,22.8,83,9.5,3.6,2,270,1,NW
19-08-2010,20,27.2,22.8,87,4,3.8,3,45,2,NW
20-08-2010,20,28.2,22.9,82,3.5,4.6,3,270,2,N 
21-08-2010,20,27.8,22.6,84,1.1,1.9,3,360,2,NW
22-08-2010,18,29.4,23.1,81,6,3.8,4,270,2,W 
23-08-2010,18,30.2,23.9,78,1.9,4,3,270,2,W 
24-08-2010,20,29.2,24.2,81,0,7.2,7,360,2,N 
25-08-2010,19,30.6,23.9,80,20.5,7,3,90,2,SW
26-08-2010,20,28.6,24.1,80,0,5,3,270,2,NW
27-08-2010,19,28.4,22.5,86,6.5,3.4,4,45,2,NW
28-08-2010,19,28.8,23.4,79,2.9,5.1,2,45,2,W 
29-08-2010,19,29,23.6,76,0,5.4,3,135,2,W 
30-08-2010,19,29.9,24,76,0,5.8,4,360,2,SE
31-08-2010,20,30,23.6,77,0,5,3,315,1,N 
01-09-2010,20,29.6,23.4,77,8888,5.1,3,135,3,SE
02-09-2010,20,30.5,23.6,80,1.2,5.7,4,90,2,E 
03-09-2010,20,29.2,24.3,78,10.5,6.4,4,90,2,E 
04-09-2010,20,29,23.4,78,0,5.1,4,270,2,W 
05-09-2010,20,27.6,23.4,82,0,2.9,2,270,1,W 
06-09-2010,24,21.2,21.7,94,24.7,3.4,3,270,2,W 
07-09-2010,20,28.4,22.6,87,11.4,5,4,270,2,W 
08-09-2010,20,26.6,22.2,88,29.8,2.5,3,270,2,W 
09-09-2010,19,28.3,21.8,87,44,4.7,4,270,3,W 
10-09-2010,20,27.4,22.8,86,34,2.8,3,270,2,W 
11-09-2010,19,29.8,23,78,1.2,7.7,5,225,3,SW
12-09-2010,19,29.1,22.5,88,5.4,4.3,3,360,2,N 
13-09-2010,20,25.7,21.6,94,37.5,2.3,3,270,2,W 
14-09-2010,20,28,22.9,87,11,1.9,3,270,2,W 
15-09-2010,20,25.4,21.6,89,8888,0.6,4,135,2,SE
16-09-2010,19,27,22,84,55.5,1.7,3,270,2,W 
17-09-2010,19,27.3,22.3,87,23.6,4.5,3,135,2,SE
18-09-2010,19,27.6,22.7,86,38.5,4.6,3,135,2,SE
19-09-2010,19,29,23.9,82,1,4.2,3,135,2,SE
20-09-2010,21,29.4,24.6,81,1.6,5.6,3,270,2,W 
21-09-2010,22,26.8,23.6,86,2,0.4,3,270,2,W 
22-09-2010,20,27.6,22.5,88,1.2,3.3,3,90,2,E 
23-09-2010,20,27.6,22.6,88,13.5,2.7,2,90,1,E 
24-09-2010,20,27.8,22.5,89,2.5,2.6,3,45,2,NE
25-09-2010,20,26.2,22.6,90,38.5,0.6,2,90,1,E 
26-09-2010,20,28.8,23.4,86,20,5,2,135,2,SE
27-09-2010,21,28.4,23,87,14.3,3.8,3,45,2,NE
28-09-2010,20,28.1,23.2,84,1.5,3.6,3,270,2,W 
29-09-2010,20,30.7,24.2,78,0,7.2,3,90,2,E 
30-09-2010,20,29,23.8,79,0,5.5,3,90,2,E 
01-10-2010,20,30,23.4,84,8888,4.5,3,45,2,NE
02-10-2010,20,29,24.2,82,3.8,3.8,3,90,2,E 
03-10-2010,21,26.4,23.5,86,1,0.8,5,90,2,E 
04-10-2010,21,29.8,24.1,78,1.4,2.6,4,90,3,NE
05-10-2010,21,30.2,24.4,77,0,2.3,2,90,2,SE
06-10-2010,21,30.6,25,77,0,5.3,4,180,2,E 
07-10-2010,20,31,24,78,0,5.9,3,135,2,W 
08-10-2010,20,29,23.4,82,10,6.1,3,270,2,E 
09-10-2010,20,28.3,24.3,78,8888,3.3,3,270,2,W 
10-10-2010,19,30,23.2,66,0,8,3,270,2,NE
11-10-2010,17,29.9,23,59,0,8,4,270,2,W 
12-10-2010,19,30,24.2,67,0,8,3,315,2,E 
13-10-2010,20,27.3,22.9,85,13.3,4.7,4,270,2,W 
14-10-2010,20,28.6,23.4,84,2.8,2.1,3,225,2,W 
15-10-2010,21,28.5,23.8,82,8888,3.3,3,270,2,NW
16-10-2010,21,29.2,24,83,1.2,2.2,3,270,2,E 
17-10-2010,20,28.6,23.4,84,16.9,4.1,4,270,2,W 
18-10-2010,21,27.2,22.5,90,0.5,2.9,3,360,2,E 
19-10-2010,19,29.2,22.3,86,8,4.3,3,90,2,W 
20-10-2010,20,26.8,21.7,96,122.9,2.2,3,315,1,W 
21-10-2010,20,28.5,23.3,85,25.5,2.8,9,270,4,W 
22-10-2010,20,28,22.5,86,9.7,,2,315,1,N 
23-10-2010,20,27.5,23.1,86,10.9,1.3,3,270,2,W 
24-10-2010,20,26.4,22.4,93,9.7,2.1,3,45,2,NE
25-10-2010,20,27.8,22.9,86,29,4.4,2,270,1,W 
26-10-2010,20,28.4,22.1,82,1,3.9,3,90,2,E 
27-10-2010,20,27,22,86,0.7,3.1,3,270,1,W 
28-10-2010,21,26.8,23.1,86,15.8,1.1,2,225,2,SW
29-10-2010,21,27.8,23,84,8888,1.8,2,45,2,W 
30-10-2010,19,26.2,21.9,90,4.5,0.4,2,45,2,NE
31-10-2010,20,28.3,23.9,79,3.6,1.9,4,270,2,W 
01-11-2010,20,29.3,25.1,69,0,4.4,3,270,2,W 
02-11-2010,22,30,24.5,75,8888,3.5,3,180,2,W 
03-11-2010,21,28.2,23.6,84,9.8,3.6,3,270,2,E 
04-11-2010,21,27.6,22.9,86,15,3.2,3,270,2,W 
05-11-2010,20,27,23.4,86,8.8,0.8,3,270,2,W 
06-11-2010,20,28.2,23.4,81,3.3,3.4,4,315,2,W 
07-11-2010,21,28.4,23.3,82,1.6,,2,270,2,W 
08-11-2010,21,27.2,22.7,87,19.8,0.4,3,270,2,W 
09-11-2010,20,29.6,22.9,85,9.3,4.5,3,135,1,E 
10-11-2010,20,28.6,23.5,84,87.5,4.8,3,90,2,NE
11-11-2010,20,28.3,23.7,81,0,4.3,4,45,2,NE
12-11-2010,20,28.8,24.2,81,8888,4.5,3,315,2,NE
13-11-2010,21,25.2,22.5,90,1.8,,4,270,2,W 
14-11-2010,20,28.4,23.2,84,2,3.9,3,270,2,W 
15-11-2010,21,27.2,23,88,8888,2.4,2,225,2,SW
16-11-2010,20,26.9,23,88,1.8,1.2,2,360,1,NW
17-11-2010,20,29.2,23.2,88,32.3,4.3,2,180,1,E 
18-11-2010,20,30,23.3,84,19.2,5.8,3,270,2,W 
19-11-2010,20,29,24.3,84,9.6,1.5,3,270,2,W 
20-11-2010,21,29,23.7,85,4.2,4.4,3,90,2,NE
21-11-2010,21,28.3,22.1,92,0.4,2.5,3,45,2,NE
22-11-2010,19,30.4,24,78,53.2,6.7,3,90,2,NE
23-11-2010,20,27.3,23.2,89,3.3,2.3,2,360,2,W 
24-11-2010,21,27.3,22.7,90,13.3,2.2,3,270,2,W 
25-11-2010,19,27.8,22.4,87,40.7,4.9,2,270,2,W 
26-11-2010,19,27.3,22.3,90,12.6,3.6,3,135,2,E 
27-11-2010,20,29.3,23.2,84,4.3,5.3,3,315,2,SE
28-11-2010,19,28.1,22.5,89,0.3,3.3,2,270,1,E 
29-11-2010,20,29.2,23.7,83,15,5,3,270,2,SE
30-11-2010,20,28.4,23.3,85,32.3,3.8,4,225,2,W 
01-12-2010,20,26.8,21.6,92,1.8,2.1,3,360,2,NE
02-12-2010,20,28,23.8,84,16,3.5,4,270,2,W 
03-12-2010,21,28,23.8,84,0,3,3,270,2,W 
04-12-2010,20,28.5,22.8,87,8.2,2.6,2,225,2,
05-12-2010,20,28.2,22.9,87,78,3.8,3,270,3,W 
06-12-2010,20,25.6,22.6,89,8,,2,270,1,W 
07-12-2010,21,28.4,23.2,85,6.7,2.8,3,270,2,W 
08-12-2010,20,28,22.6,88,12.2,2.8,4,270,2,W 
09-12-2010,20,27.3,22.9,85,19.5,0.4,3,270,2,W 
10-12-2010,20,26.4,22.5,88,6.2,0.4,3,315,2,NW
11-12-2010,20,24.4,21.8,84,27.9,,4,270,2,W 
12-12-2010,20,27.5,23.2,77,8888,4.1,4,270,3,W 
13-12-2010,21,27.8,23.5,70,8888,6.7,5,270,3,NW
14-12-2010,20,26.5,22.4,82,0,1.9,5,315,3,W 
15-12-2010,20,28,22.9,80,8888,5.4,5,270,3,W 
16-12-2010,20,25.8,22.3,80,8888,1.6,4,270,2,W 
17-12-2010,21,27,22.3,82,0.5,2.4,4,270,2,NW
18-12-2010,21,28.5,23.5,76,17.7,5.4,5,270,3,NW
19-12-2010,21,28,23.3,74,0,3,3,270,2,NW
20-12-2010,21,28,23.1,84,5,3.4,5,270,3,W 
21-12-2010,20,28.6,23.2,78,1.8,4,4,315,2,NW
22-12-2010,20,27.2,23.3,86,1.3,1.1,3,270,2,W 
23-12-2010,20,27.4,22.1,87,6.6,2.8,4,270,2,W 
24-12-2010,20,29.2,23,84,9.5,6.5,3,270,2,W 
25-12-2010,21,27.8,23.5,81,0.2,3.3,4,315,2,NW
26-12-2010,20,28.6,23.3,74,0,4.1,3,270,2,NW
27-12-2010,20,27,23,84,4,3.9,4,270,2,W 
28-12-2010,21,28.3,23.7,80,1.5,4.6,4,315,3,W 
29-12-2010,21,25.7,22.8,77,3.5,0.3,3,270,2,W 
30-12-2010,21,27.2,22.8,82,0,2.5,4,270,2,W 
31-12-2010,20,28,24,72,1.4,4.4,5,270,3,W 
01-01-2011,21,28,23.9,74,0,2.7,4,270,2,W 
02-01-2011,21,27.2,23.5,74,1.4,2.3,3,315,2,NW
03-01-2011,21,27.1,23.2,78,0,2,6,270,2,W 
04-01-2011,21,27.7,23.5,80,8888,4.9,4,270,2,W 
05-01-2011,21,26.4,23.2,81,0,0.9,5,270,3,W 
06-01-2011,21,29,24.4,80,8888,4.2,4,270,2,W 
07-01-2011,21,27.8,23.4,82,3,2.3,4,315,2,W 
08-01-2011,21,27.8,22.9,83,0,1,4,270,3,W 
09-01-2011,21,28.2,23.7,80,0.7,6,6,270,3,W 
10-01-2011,20,27.8,23.2,78,17.5,2.6,3,270,2,W 
11-01-2011,21,27,23.4,75,8888,3.9,5,270,3,W 
12-01-2011,21,26,22.9,81,13.3,1.2,4,270,3,W 
13-01-2011,21,26.5,23.1,82,0,2.4,5,270,2,W 
14-01-2011,20,26.6,22.9,75,11.7,0.6,4,270,2,W 
15-01-2011,21,25.5,22.4,79,8888,0.9,6,270,2,W 
16-01-2011,20,25.6,22,85,5.4,2.5,4,270,2,W 
17-01-2011,21,27,23.4,78,0.5,2.8,6,270,3,W 
18-01-2011,21,26.2,22.8,84,0.2,2.3,5,270,3,W 
19-01-2011,20,28.8,23.3,80,8888,4.4,3,270,2,W 
20-01-2011,20,27.2,22.9,80,0,1.5,6,270,3,W 
21-01-2011,20,26,22.5,81,3.3,0.3,4,270,3,W 
22-01-2011,20,27.4,23.2,84,8888,1.8,4,270,3,W 
23-01-2011,20,28.2,23.4,81,0,4.7,4,270,2,W 
24-01-2011,20,28.2,23.6,79,8888,5.6,4,270,2,W 
25-01-2011,21,27.5,23.8,81,0,1.8,4,270,2,W 
26-01-2011,21,29.6,23.7,77,0.5,7,4,270,3,NW
27-01-2011,21,30.6,23.8,81,0,7.4,4,270,2,W 
28-01-2011,21,28.2,23.5,79,0,5.9,5,270,2,W 
29-01-2011,21,29.4,23.8,82,1.5,6.2,5,270,2,W 
30-01-2011,21,30.6,23.9,76,0.5,7.1,5,270,3,W 
31-01-2011,22,27.4,24.1,74,3.5,4.4,4,270,2,W 
01-02-2011,20,28.7,23.4,84,0.1,2.2,4,270,2,W 
02-02-2011,21,28.2,23.4,80,19.8,3.5,4,270,2,W 
03-02-2011,21,27.2,23.4,80,3.4,3,5,270,2,W 
04-02-2011,21,27.6,22.4,84,0,2,4,270,2,W 
